COUNTER_LOCATION (group),Hour of Collection Timestamp,Year of Collection Timestamp,Average Bike Count
7th St North of Townsend St NB,23,2017,5.090410959
11th St North of Folsom,0,2016,15.204918033
11th St North of Folsom,0,2017,13.657534247
11th St North of Folsom,1,2016,10.461748634
11th St North of Folsom,1,2017,10.449315068
11th St North of Folsom,2,2016,8.868852459
11th St North of Folsom,2,2017,8.610958904
11th St North of Folsom,3,2016,5.150273224
11th St North of Folsom,3,2017,4.493150685
11th St North of Folsom,4,2016,6.172131148
11th St North of Folsom,4,2017,6.473972603
11th St North of Folsom,5,2016,10.265753425
11th St North of Folsom,5,2017,10.769863014
11th St North of Folsom,6,2016,25.273224044
11th St North of Folsom,6,2017,25.158904110
11th St North of Folsom,7,2016,53.079234973
11th St North of Folsom,7,2017,53.583561644
11th St North of Folsom,8,2016,94.636612022
11th St North of Folsom,8,2017,96.624657534
11th St North of Folsom,9,2016,86.849726776
11th St North of Folsom,9,2017,92.065753425
11th St North of Folsom,10,2016,56.989071038
11th St North of Folsom,10,2017,55.939726027
11th St North of Folsom,11,2016,47.204918033
11th St North of Folsom,11,2017,44.890410959
11th St North of Folsom,12,2016,48.953551913
11th St North of Folsom,12,2017,48.071232877
11th St North of Folsom,13,2016,50.778688525
11th St North of Folsom,13,2017,51.238356164
11th St North of Folsom,14,2016,52.841530055
11th St North of Folsom,14,2017,51.778082192
11th St North of Folsom,15,2016,62.830601093
11th St North of Folsom,15,2017,60.304109589
11th St North of Folsom,16,2016,89.461748634
11th St North of Folsom,16,2017,86.698630137
11th St North of Folsom,17,2016,167.035519126
11th St North of Folsom,17,2017,164.616438356
11th St North of Folsom,18,2016,161.658469945
11th St North of Folsom,18,2017,157.153424658
11th St North of Folsom,19,2016,98.822404372
11th St North of Folsom,19,2017,93.284931507
11th St North of Folsom,20,2016,55.934426230
11th St North of Folsom,20,2017,52.386301370
11th St North of Folsom,21,2016,39.180327869
11th St North of Folsom,21,2017,38.684931507
11th St North of Folsom,22,2016,30.150273224
11th St North of Folsom,22,2017,29.087671233
11th St North of Folsom,23,2016,21.956284153
11th St North of Folsom,23,2017,20.364383562
14th St East of Valencia EB,0,2016,2.368131868
14th St East of Valencia EB,0,2017,2.76
14th St East of Valencia EB,1,2016,1.489010989
14th St East of Valencia EB,1,2017,1.490909091
14th St East of Valencia EB,2,2016,1.082417582
14th St East of Valencia EB,2,2017,1.116363636
14th St East of Valencia EB,3,2016,0.851648352
14th St East of Valencia EB,3,2017,0.930909091
14th St East of Valencia EB,4,2016,1.115384615
14th St East of Valencia EB,4,2017,1.170909091
14th St East of Valencia EB,5,2016,5.137362637
14th St East of Valencia EB,5,2017,5.498181818
14th St East of Valencia EB,6,2016,22.434065934
14th St East of Valencia EB,6,2017,21.581818182
14th St East of Valencia EB,7,2016,56.269230769
14th St East of Valencia EB,7,2017,57.185454545
14th St East of Valencia EB,8,2016,119.203296703
14th St East of Valencia EB,8,2017,112.665454545
14th St East of Valencia EB,9,2016,99.038461538
14th St East of Valencia EB,9,2017,82.309090909
14th St East of Valencia EB,10,2016,46.521978022
14th St East of Valencia EB,10,2017,37.054545455
14th St East of Valencia EB,11,2016,27.675824176
14th St East of Valencia EB,11,2017,25.243636364
14th St East of Valencia EB,12,2016,24.428571429
14th St East of Valencia EB,12,2017,23.356363636
14th St East of Valencia EB,13,2016,23.532967033
14th St East of Valencia EB,13,2017,23.276363636
14th St East of Valencia EB,14,2016,21.368131868
14th St East of Valencia EB,14,2017,21.276363636
14th St East of Valencia EB,15,2016,22.829670330
14th St East of Valencia EB,15,2017,23.323636364
14th St East of Valencia EB,16,2016,23.571428571
14th St East of Valencia EB,16,2017,25.083636364
14th St East of Valencia EB,17,2016,25.373626374
14th St East of Valencia EB,17,2017,29.876363636
14th St East of Valencia EB,18,2016,23.802197802
14th St East of Valencia EB,18,2017,26.647272727
14th St East of Valencia EB,19,2016,17.571428571
14th St East of Valencia EB,19,2017,18.461818182
14th St East of Valencia EB,20,2016,12.208791209
14th St East of Valencia EB,20,2017,12.250909091
14th St East of Valencia EB,21,2016,9.005494505
14th St East of Valencia EB,21,2017,9.410909091
14th St East of Valencia EB,22,2016,7.813186813
14th St East of Valencia EB,22,2017,6.730909091
14th St East of Valencia EB,23,2016,4.807692308
14th St East of Valencia EB,23,2017,4.465454545
17th St East of Hoff St,0,2016,6.590163934
17th St East of Hoff St,0,2017,6.247252747
17th St East of Hoff St,1,2016,3.994535519
17th St East of Hoff St,1,2017,4.109890110
17th St East of Hoff St,2,2016,2.240437158
17th St East of Hoff St,2,2017,2.516483516
17th St East of Hoff St,3,2016,1.382513661
17th St East of Hoff St,3,2017,1.711538462
17th St East of Hoff St,4,2016,1.625683060
17th St East of Hoff St,4,2017,1.972602740
17th St East of Hoff St,5,2016,3.535519126
17th St East of Hoff St,5,2017,3.879452055
17th St East of Hoff St,6,2016,17.420765027
17th St East of Hoff St,6,2017,18.473972603
17th St East of Hoff St,7,2016,42.546448087
17th St East of Hoff St,7,2017,44.553424658
17th St East of Hoff St,8,2016,84.909836066
17th St East of Hoff St,8,2017,79.726027397
17th St East of Hoff St,9,2016,71.912568306
17th St East of Hoff St,9,2017,66.884931507
17th St East of Hoff St,10,2016,41.371584699
17th St East of Hoff St,10,2017,40.186301370
17th St East of Hoff St,11,2016,35.704918033
17th St East of Hoff St,11,2017,35.232876712
17th St East of Hoff St,12,2016,36.642076503
